Age,Weight,HeartRate,Gender,Duration_minutes,AnklePain,HipPain,BackPain,LegPain,NeckPain,Walking,Weights,Jogging,Squats,Gym
22,54,73,Male,98,0,1,0,1,0,0,1,1,1,0
28,77,106,Female,78,1,1,1,1,0,1,1,0,1,1
22,79,98,Female,89,0,0,0,1,1,1,0,0,0,1
32,54,74,Female,77,0,1,0,0,0,0,1,0,1,0
27,60,107,Female,80,1,1,0,1,0,1,1,1,0,1
37,54,92,Male,73,1,1,0,0,0,1,0,0,0,1
42,75,95,Male,73,1,1,0,0,0,1,0,1,0,0
24,68,77,Female,104,1,1,1,0,0,1,1,0,1,1
44,49,81,Male,65,1,0,0,1,1,1,1,1,0,0
43,59,106,Male,91,1,1,0,0,1,0,0,1,0,1
26,66,119,Male,84,1,0,0,1,0,1,1,1,0,1
19,55,87,Male,99,0,1,1,1,0,1,0,0,1,0
29,65,88,Female,84,1,0,1,1,1,0,1,1,0,0
44,69,81,Male,90,1,0,1,0,0,0,1,0,1,1
19,79,104,Female,112,1,0,1,1,0,0,1,1,0,0
35,48,84,Female,115,0,1,1,1,1,0,1,1,0,1
20,67,88,Female,81,1,0,0,0,0,0,1,0,1,1
30,45,81,Female,92,1,1,1,1,1,1,1,0,0,1
27,60,92,Female,57,1,1,0,1,0,1,0,0,0,0
23,76,102,Female,53,0,1,0,0,1,1,1,1,1,0
40,51,91,Male,67,0,0,1,1,1,1,0,1,0,0
33,57,108,Female,94,0,0,0,1,0,1,1,0,0,0
20,47,82,Female,100,1,0,1,1,0,0,1,0,0,0
33,47,119,Male,102,1,1,0,1,0,1,1,0,0,1
28,74,89,Male,104,1,1,0,0,0,1,1,0,0,1
20,49,69,Female,118,0,1,1,1,1,0,0,1,1,1
21,51,81,Male,118,0,0,1,1,0,1,1,0,0,1
39,67,119,Female,51,0,1,0,1,1,0,1,0,0,0
29,77,91,Male,103,0,1,1,1,1,1,0,1,1,0
27,61,115,Female,92,0,0,0,1,1,1,1,0,1,1
42,70,69,Male,69,1,0,1,0,1,0,1,0,1,1
38,46,81,Female,50,0,0,1,1,1,0,1,0,1,0
22,70,106,Male,66,0,1,0,0,1,1,0,0,0,1
24,66,90,Male,57,1,0,1,1,1,1,1,0,0,0
20,79,103,Female,62,0,0,0,0,1,1,1,1,0,1
24,58,78,Male,54,0,1,0,0,0,1,0,1,0,0
34,79,114,Female,85,0,0,0,1,0,0,1,0,1,0
19,76,108,Female,45,1,0,0,0,1,0,0,0,0,0
31,71,108,Female,92,1,1,1,1,1,1,1,0,0,1
31,48,106,Male,52,0,0,0,1,1,0,0,0,1,1
33,79,113,Male,60,0,0,1,1,1,1,1,1,1,1
25,74,81,Male,53,1,0,1,0,1,1,0,0,1,1
19,60,98,Female,64,1,0,1,0,1,1,1,0,0,1
42,64,86,Female,75,0,0,1,0,1,0,1,0,0,1
44,51,105,Male,45,1,1,1,1,1,0,1,1,0,0
44,60,105,Male,61,1,1,1,1,1,1,0,0,0,0
37,68,102,Male,99,1,1,1,0,1,0,0,1,1,0
28,53,89,Female,91,1,0,0,1,1,0,0,0,0,0
26,59,110,Female,94,0,1,0,0,0,0,0,0,0,0
32,80,103,Female,112,1,1,1,0,0,1,0,0,1,1
24,68,115,Male,119,1,1,0,0,0,1,0,1,1,0
40,69,109,Female,46,1,0,1,1,1,0,0,1,1,1
24,54,106,Male,70,1,0,0,1,1,0,0,0,1,1
33,49,82,Male,90,1,1,0,0,0,1,1,0,1,1
42,57,93,Male,118,1,0,0,1,0,0,1,0,1,1
39,81,114,Male,58,0,1,0,0,1,1,1,1,1,1
31,70,81,Female,104,1,0,1,0,1,0,0,0,0,0
31,54,109,Male,52,0,1,1,1,1,0,0,1,1,1
38,64,119,Male,46,1,0,0,0,0,0,0,0,0,0
30,67,89,Female,112,0,0,1,0,1,0,1,0,1,1
42,54,81,Female,57,1,0,1,1,0,0,0,1,1,0
37,59,70,Male,93,1,1,0,1,1,0,0,0,1,1
39,78,80,Male,103,0,0,0,1,1,0,0,1,0,0
22,60,117,Male,96,0,1,1,0,0,1,0,0,0,1
26,57,76,Female,82,1,1,1,1,1,0,0,1,0,0
23,65,90,Female,100,1,0,0,0,1,0,0,0,1,0
30,67,100,Male,72,1,0,1,0,1,0,1,0,0,0
43,61,115,Female,108,0,0,1,1,1,0,1,1,1,1
40,46,96,Male,96,1,1,0,1,1,0,1,1,0,0
32,67,118,Male,109,0,0,1,1,0,1,1,1,0,1
31,76,118,Female,65,1,0,0,1,1,0,0,1,1,0
39,76,80,Male,116,0,0,0,0,1,0,0,1,1,0
42,68,112,Female,55,0,1,1,0,0,0,0,0,0,1
28,64,89,Female,116,1,1,1,1,1,0,0,0,1,1
21,76,74,Male,45,0,1,1,0,1,0,0,0,1,1
31,80,95,Female,72,1,1,0,1,1,1,1,0,1,0
38,80,85,Male,94,1,0,0,1,1,0,1,1,1,1
40,48,89,Male,99,1,0,0,0,1,0,0,1,0,1
26,52,82,Male,96,0,1,1,1,1,0,0,0,1,1
40,72,75,Male,78,0,0,1,0,1,0,0,0,1,1
33,55,118,Male,48,0,1,1,1,1,1,0,0,0,0
35,64,92,Female,99,1,1,1,0,1,0,1,0,1,1
35,74,77,Female,66,1,1,1,1,1,1,0,1,0,0
36,69,76,Female,96,1,1,0,1,0,0,0,1,1,0
27,63,115,Female,46,1,1,0,1,0,0,1,0,0,1
30,56,113,Female,66,1,1,0,0,1,1,1,1,0,1
38,48,70,Female,95,1,0,1,1,1,1,1,0,1,0
31,63,70,Female,51,1,1,1,1,1,1,1,0,0,1
34,48,84,Male,101,0,1,1,0,0,1,0,1,1,1
27,69,70,Female,100,1,1,0,1,0,1,0,0,0,1
25,71,75,Male,59,0,0,0,0,1,0,0,1,0,0
38,50,110,Male,64,0,1,0,0,0,0,1,1,0,1
38,80,105,Female,79,1,1,0,0,1,1,0,1,1,1
33,56,80,Male,50,1,0,1,1,1,1,1,1,1,1
24,52,111,Male,45,1,0,0,1,0,1,1,0,1,1
22,73,102,Male,61,0,1,1,0,0,0,0,1,0,1
26,65,70,Female,59,1,1,0,1,0,1,1,0,1,1
38,56,91,Female,90,0,0,1,1,1,1,1,1,1,1
25,75,81,Male,62,0,0,1,1,1,0,0,0,1,1
41,45,95,Female,105,0,0,0,1,0,1,1,1,0,0
41,58,102,Male,67,1,0,0,1,1,1,1,0,0,1
28,53,118,Male,91,0,1,1,1,1,0,1,0,1,1
19,70,81,Female,66,0,1,0,0,0,1,1,0,0,1
26,50,98,Male,88,1,1,1,0,1,0,0,0,0,0
35,58,97,Female,96,1,1,0,0,0,0,0,1,0,1
30,63,107,Male,109,0,1,1,1,0,1,0,0,1,1
35,57,101,Male,96,1,0,0,1,0,1,0,0,0,0
33,68,109,Female,85,0,0,1,1,1,1,1,0,1,1
34,52,106,Male,63,1,0,0,1,1,1,1,1,1,0
31,48,102,Male,49,1,0,1,0,1,0,1,0,0,0
42,57,105,Female,116,0,0,1,0,0,1,1,1,0,1
42,74,91,Male,114,0,0,0,1,1,0,1,1,1,1
25,59,109,Male,54,0,0,0,1,0,1,0,1,1,0
21,53,91,Female,116,1,0,0,0,0,0,1,0,0,1
40,45,90,Male,113,1,1,0,1,1,0,0,0,1,0
25,46,77,Female,117,0,1,0,1,0,1,1,1,0,1
20,58,81,Female,74,0,1,1,1,0,1,1,0,0,0
19,69,76,Female,115,1,1,0,1,0,0,1,1,0,1
40,77,113,Male,117,0,1,0,0,0,1,0,1,1,1
21,58,76,Female,92,0,1,1,1,1,0,0,1,0,1
32,73,77,Female,113,1,1,0,0,0,0,0,0,1,0
21,71,114,Female,89,1,1,0,0,0,1,0,0,0,0
39,76,76,Female,82,1,0,0,1,0,0,0,0,1,0
34,49,118,Female,83,1,1,1,1,0,1,1,1,0,0
23,55,106,Female,57,1,0,1,0,0,1,1,1,0,1
19,51,110,Male,114,1,1,1,1,0,1,1,1,0,0
41,72,118,Female,86,1,1,0,0,0,0,1,1,1,0
28,52,72,Male,101,0,1,1,0,0,0,1,1,0,1
22,71,96,Male,100,0,0,0,1,0,1,0,1,1,0
25,60,103,Female,64,0,1,1,1,1,1,0,1,0,0
23,74,106,Male,75,1,0,0,0,0,1,1,0,1,0
39,75,117,Male,54,1,1,0,0,1,1,0,0,0,1
33,76,77,Female,119,1,0,1,1,0,0,1,1,1,0
24,75,107,Female,57,1,1,1,1,0,0,1,0,1,1
43,80,72,Female,114,0,1,0,0,0,0,0,0,0,1
24,48,71,Male,105,1,0,0,1,0,1,1,0,1,0
22,71,71,Male,89,0,1,0,0,0,0,1,1,0,0
36,61,87,Male,113,1,0,1,0,1,1,1,1,1,1
23,55,95,Male,88,1,1,0,1,1,1,1,0,0,1
25,72,107,Male,68,0,0,0,1,1,1,1,1,1,1
24,77,85,Female,86,0,0,0,1,1,0,1,0,1,0
44,55,110,Male,46,0,0,1,0,0,1,1,0,0,1
44,54,77,Male,64,0,1,0,0,0,1,0,1,0,1
27,67,75,Female,98,0,0,0,1,0,0,1,0,1,1
32,56,88,Female,85,1,0,0,1,1,0,1,0,1,1
21,50,103,Female,111,1,1,0,0,1,0,0,1,0,1
33,76,115,Male,60,0,1,1,1,0,0,0,0,0,0
21,71,69,Female,53,0,1,0,0,1,1,0,1,1,1
39,72,85,Female,118,1,1,0,1,0,0,1,1,1,1
37,72,74,Male,119,0,1,1,0,1,0,1,0,1,0
30,67,91,Male,72,0,0,0,0,1,0,1,1,1,0
27,79,98,Female,99,1,0,0,0,0,0,0,0,0,1
22,49,102,Female,81,1,1,0,0,0,0,1,1,1,1
28,45,99,Male,66,0,1,0,0,0,1,0,1,0,1
22,69,90,Female,105,0,1,0,0,1,1,0,1,0,1
40,77,81,Male,87,1,0,0,1,0,0,0,0,0,0
40,74,77,Male,119,0,0,0,0,0,0,1,1,0,1
33,52,72,Male,92,0,1,1,1,1,1,0,0,0,0
32,47,88,Male,94,0,0,1,1,1,1,0,1,0,0
28,52,74,Female,118,1,0,0,0,1,1,1,1,0,1
30,68,108,Male,110,0,0,0,1,1,0,0,0,1,0
29,68,95,Female,84,1,0,0,0,1,0,1,0,1,1
24,59,100,Female,61,0,0,0,0,1,0,1,1,0,1
36,52,117,Male,63,0,0,1,1,0,0,1,0,1,0
24,76,103,Female,59,0,0,1,1,0,0,0,1,0,1
34,76,106,Female,108,0,0,1,0,1,0,1,1,1,1
43,53,110,Male,51,0,0,0,0,1,1,0,0,0,1
24,77,96,Male,102,1,0,0,0,0,0,1,0,0,0
19,54,106,Female,115,0,0,0,1,0,1,0,0,1,0
44,76,94,Female,81,0,0,1,1,0,0,0,0,1,0
31,48,75,Female,102,0,0,1,0,1,1,0,0,0,1
24,55,114,Female,97,0,0,0,0,1,0,0,1,1,0
32,73,109,Male,47,1,0,0,1,0,1,1,0,0,0
42,51,97,Female,96,1,0,1,1,1,1,0,0,1,1
38,60,100,Female,99,1,1,1,0,1,0,1,0,0,0
19,81,79,Male,73,1,1,1,1,0,0,1,0,0,1
21,62,105,Male,106,0,1,1,1,1,1,1,1,1,0
19,64,101,Female,105,0,1,0,0,0,1,0,1,1,1
38,51,76,Female,70,0,1,0,1,1,0,1,1,0,0
33,57,101,Male,54,1,1,1,1,1,1,0,0,1,1
43,75,107,Female,95,0,1,0,1,0,1,1,1,0,1
39,70,79,Female,63,1,1,0,1,1,1,0,0,1,0
42,74,98,Female,74,0,0,0,0,0,0,0,1,1,0
36,77,80,Male,112,1,0,0,0,0,1,1,0,1,1
29,53,87,Female,106,0,0,1,1,0,0,0,0,0,0
23,79,79,Male,56,1,1,1,1,1,0,1,1,0,0
24,78,112,Female,62,1,1,1,0,1,1,1,0,0,0
44,55,104,Male,86,1,1,1,0,0,1,0,1,0,0
31,76,105,Female,68,1,1,0,0,1,1,1,0,0,1
32,62,75,Female,76,1,0,0,1,0,1,1,0,1,0
40,59,90,Female,97,0,0,1,0,0,0,0,1,0,1
30,53,90,Male,53,1,0,0,1,1,1,1,1,0,0
40,79,94,Male,57,1,1,1,0,0,1,1,1,0,1
39,76,78,Male,106,0,1,0,1,0,1,0,0,0,1
44,71,108,Female,52,0,1,0,0,1,0,1,1,0,1
42,80,113,Female,64,1,1,1,1,0,1,1,0,1,1
39,66,71,Male,101,0,0,1,1,1,1,0,1,0,0
31,61,82,Female,93,1,1,0,1,1,0,1,1,1,1
37,46,77,Male,100,1,0,0,1,0,0,1,0,0,0
35,62,80,Female,112,1,1,0,1,0,1,1,1,0,0
20,64,89,Female,91,0,1,0,0,0,0,0,0,1,0
40,81,76,Female,86,1,1,1,0,1,0,0,0,0,1
36,81,117,Female,107,1,0,0,0,0,1,0,0,1,1
37,81,118,Male,109,0,0,0,0,0,1,0,1,0,0
43,70,103,Female,67,1,0,1,1,0,1,1,1,1,1
24,76,111,Female,60,0,0,0,0,0,1,1,0,1,1
31,73,91,Female,98,1,1,0,1,1,1,1,0,0,0
34,52,80,Female,99,0,0,0,1,1,0,1,1,0,1
35,52,99,Male,89,0,1,1,0,0,0,1,1,0,0
33,55,110,Male,59,1,0,0,0,1,0,1,1,1,1
30,61,85,Male,116,0,1,1,1,0,0,0,1,0,0
24,45,86,Male,103,1,0,0,0,1,1,0,1,0,0
33,66,116,Male,88,1,0,1,1,1,0,0,1,0,1
41,46,107,Male,54,1,0,0,1,1,0,1,0,1,0
21,70,104,Male,100,1,0,1,0,0,0,0,0,1,1
29,76,115,Male,76,0,1,0,0,1,1,1,0,1,0
23,50,71,Male,117,1,0,1,0,1,1,0,0,0,0
26,64,83,Male,117,0,1,0,1,0,0,1,0,1,1
22,81,73,Female,114,1,0,1,0,0,0,0,0,1,1
30,46,96,Female,106,1,1,1,0,0,1,1,1,0,1
29,53,90,Male,67,0,1,1,1,0,1,1,0,1,1
20,59,118,Female,97,0,0,0,1,1,1,1,0,0,0
39,50,114,Female,62,1,0,1,1,0,0,0,1,1,0
38,61,91,Female,85,1,0,1,0,0,1,1,1,0,1
19,77,96,Male,79,0,0,1,1,0,0,0,0,1,0
28,48,87,Female,113,1,1,0,1,1,0,0,1,1,1
24,71,108,Female,46,1,1,1,1,0,0,0,1,0,0
41,50,115,Female,80,1,1,0,0,1,1,0,1,0,0
36,77,118,Male,88,0,1,0,0,1,1,0,1,0,0
29,62,82,Male,76,0,0,0,0,1,1,0,1,1,0
25,51,93,Male,111,1,1,0,1,1,0,0,0,1,1
27,50,116,Male,59,1,0,0,0,0,0,0,0,1,0
31,62,83,Male,76,1,0,1,0,0,1,0,1,0,0
39,47,88,Male,108,0,0,1,0,1,0,0,1,0,0
43,51,84,Male,83,1,1,1,0,1,0,1,1,1,0
24,49,94,Female,107,1,1,0,0,0,1,0,1,1,0
32,48,90,Female,114,1,1,1,1,1,1,1,1,0,1
20,79,88,Female,70,0,1,0,0,1,0,1,1,1,0
35,75,110,Female,55,0,0,0,1,0,1,0,1,0,1
41,50,73,Female,54,0,1,1,1,0,0,1,1,1,0
24,49,74,Female,89,1,0,0,1,1,0,0,1,0,1
30,57,99,Female,61,1,0,0,0,1,0,0,0,0,0
26,49,71,Female,80,0,0,1,0,1,1,0,0,0,1
28,67,87,Female,60,0,1,0,1,0,1,1,1,1,1
35,46,82,Female,67,0,0,1,1,1,1,1,0,0,0
24,71,75,Female,55,1,0,0,0,1,1,0,1,1,0
28,68,88,Male,59,0,0,1,1,1,0,1,1,0,1
20,81,82,Female,60,1,0,1,0,1,1,0,0,1,0
21,67,70,Female,103,1,0,1,0,1,1,1,1,0,0
23,69,91,Female,46,1,0,0,1,0,1,0,0,0,1
31,69,97,Female,61,1,1,0,0,1,1,0,0,0,1
37,63,96,Female,47,0,0,1,0,0,1,0,0,1,0
37,68,108,Female,92,0,0,1,1,0,0,0,1,0,0
42,45,101,Female,57,1,1,0,1,0,0,1,1,1,0
22,51,72,Female,99,1,1,1,1,1,1,1,1,1,1
23,60,73,Male,93,1,0,1,1,0,1,0,0,1,0
24,57,105,Male,86,1,0,1,0,0,0,0,0,1,1
20,60,88,Male,82,0,1,1,1,1,1,1,1,0,1
26,65,110,Female,91,1,0,1,0,1,1,1,1,0,0
37,46,115,Female,115,1,0,0,0,1,1,0,0,1,0
26,46,116,Male,108,1,1,1,0,1,1,0,1,1,0
36,71,88,Male,90,1,1,0,1,1,1,0,1,1,1
33,58,70,Male,64,1,1,0,0,0,1,0,1,1,0
20,56,92,Female,73,0,1,0,0,0,1,1,0,0,1
21,51,96,Female,52,0,0,0,1,1,1,0,0,1,1
37,80,119,Female,52,0,0,0,0,1,1,0,1,1,0
19,51,82,Male,72,1,1,1,1,1,0,1,1,1,1
19,72,112,Female,65,0,1,0,1,0,1,0,0,0,0
36,67,69,Male,92,0,0,1,1,1,1,1,1,0,1
20,67,69,Female,74,0,0,0,0,1,1,0,1,0,1
19,60,113,Female,113,1,1,0,1,0,1,0,1,1,1
39,65,91,Male,82,1,1,0,1,1,0,1,0,0,1
41,62,109,Male,49,1,0,1,0,0,1,0,0,1,0
34,47,115,Male,77,1,1,1,0,0,0,0,0,0,0
23,70,84,Male,89,0,1,1,1,0,0,1,0,0,1
23,58,99,Female,62,0,1,0,0,0,1,1,1,0,1
36,66,95,Female,116,0,0,1,1,0,0,1,1,1,0
23,48,91,Female,61,1,0,0,0,1,1,0,1,1,0
32,67,108,Male,95,1,1,0,1,0,0,0,1,0,0
34,73,71,Female,88,1,0,0,1,0,1,0,1,1,1
26,71,109,Female,72,0,0,1,1,1,0,1,0,1,0
30,64,86,Male,65,0,1,0,0,1,0,0,1,0,1
34,69,85,Female,49,1,1,1,1,0,1,0,0,1,1
36,60,88,Male,86,1,0,1,0,0,1,1,0,1,0
24,67,83,Female,89,0,0,0,1,1,1,0,0,0,0
26,60,91,Female,113,1,0,0,1,0,1,0,0,0,1
33,69,72,Female,81,0,1,1,0,0,1,0,1,0,0
26,49,81,Female,71,0,1,1,0,1,1,0,1,1,0
39,51,73,Female,75,1,1,0,0,0,0,1,0,0,0
28,77,110,Male,64,1,0,0,1,1,0,1,1,1,0
39,55,111,Female,104,0,1,1,1,0,0,1,0,0,0
43,53,108,Male,61,0,0,0,1,0,0,1,1,1,0
27,69,105,Female,101,0,1,0,1,0,0,1,1,0,0
27,78,82,Female,89,1,1,1,1,1,1,0,1,0,0
24,68,108,Male,59,0,0,0,1,1,1,1,1,0,1
36,76,73,Male,64,1,1,0,1,1,1,1,1,1,1
32,63,106,Male,116,1,0,0,0,1,0,0,1,0,0
44,66,77,Female,46,0,0,0,0,0,1,1,0,1,1
38,72,88,Male,117,1,0,1,1,1,0,1,0,1,0
25,70,79,Female,66,1,1,0,0,0,0,1,0,1,0
30,52,106,Female,47,1,0,0,0,0,0,0,1,1,1
36,66,106,Male,57,1,1,0,1,1,0,0,1,1,1
34,54,85,Female,101,0,0,1,1,0,0,1,1,0,0
40,47,83,Female,74,0,1,1,0,1,0,0,1,1,0
26,65,98,Male,73,0,1,0,0,1,0,0,0,1,1
37,65,91,Female,69,1,0,1,1,0,1,1,1,0,1
26,45,113,Female,116,0,1,1,0,0,1,0,0,1,1
29,79,90,Female,65,0,1,1,0,1,1,1,1,0,0
31,54,87,Male,94,0,1,0,1,1,0,0,1,0,1
38,58,69,Female,107,0,0,0,0,0,1,1,1,1,1
43,77,118,Male,79,1,0,0,1,0,1,0,1,0,0
40,61,109,Male,94,0,1,1,1,1,1,1,1,1,1
28,75,98,Male,107,1,1,0,0,1,1,0,1,0,1
33,68,111,Male,91,1,1,0,0,1,1,0,1,0,0
24,49,114,Male,76,1,0,0,1,1,0,1,1,0,0
23,79,75,Female,76,0,1,1,1,1,0,1,1,0,0
43,60,104,Female,85,1,1,0,1,0,0,1,1,0,1
32,64,69,Female,50,0,1,0,1,0,0,0,1,0,0
30,47,88,Female,84,1,0,0,0,0,0,0,0,1,0
34,72,98,Male,86,0,1,1,0,1,0,1,1,1,1
22,46,116,Female,62,1,0,1,0,0,0,1,0,0,0
24,60,107,Male,112,0,1,1,1,1,0,0,0,1,0
39,55,103,Male,105,0,1,1,0,0,1,0,1,1,1
32,51,95,Male,72,1,0,0,0,1,1,0,1,0,0
39,75,85,Male,62,1,0,0,1,1,1,0,1,0,1
28,62,114,Male,107,0,0,0,1,0,0,1,1,1,1
20,77,116,Female,96,0,1,1,1,1,1,1,0,0,0
33,60,106,Female,83,0,0,1,0,0,1,1,0,1,1
42,78,90,Male,47,0,1,0,1,1,0,0,0,0,0
29,50,93,Male,45,1,1,0,0,1,1,1,1,0,0
25,78,116,Female,118,0,0,0,1,1,1,1,0,0,0
33,51,79,Male,97,0,0,1,1,1,1,0,1,0,1
19,57,119,Female,76,0,0,0,0,0,0,1,1,0,1
25,80,94,Male,96,0,0,1,1,0,1,1,0,0,1
25,77,90,Female,74,1,0,1,1,0,1,1,1,1,1
29,51,118,Female,76,0,0,0,0,1,0,0,0,0,0
28,50,90,Male,83,1,0,0,1,1,1,0,0,1,1
29,73,113,Female,88,0,1,1,0,0,0,0,0,1,0
35,57,94,Female,72,0,0,0,0,1,1,1,0,1,0
35,76,77,Male,88,1,0,0,1,1,0,1,1,1,0
40,56,87,Male,79,1,1,0,0,1,0,1,1,0,0
30,55,70,Male,65,1,1,0,1,0,1,1,1,0,1
20,64,113,Male,115,1,1,1,1,0,0,0,0,1,1
44,70,78,Male,67,1,1,0,0,1,0,1,1,0,1
19,48,110,Female,73,0,0,0,0,1,0,1,1,0,0
37,74,84,Male,58,0,1,1,0,1,0,1,0,1,1
